name,phone_number,email,website,facebook,twitter,instagram,description
Museum Bahari,(021) 6693406,museumbahari@yahoo.com,,,,museumkebaharianjkt,"Museum Bahari merupakan museum khusus yang diresmikan pada 7 Juli 1977 setelah pada satu tahun sebelumnya dilakukan pemugaran dan revitalisasi. Museum Bahari diresmikan oleh Gubernur DKI Jakarta, Ali Sadikin. Koleksi yang dipamerkan oleh museum berkaitan dengan kelautan seperti perahu tradisional, alat navigasi pelayaran, legenda, lagu-lagu masyarakat pesisir, dan benda-benda peninggalan Vereenigde Oostindische Compagnie (VOC). Museum Bahari merupakan museum yang sangat penting karena menyimpan peninggalan budaya bahari masyarakat Indonesia dan gedung museum pada masa lalu menjadi gudang penyimpanan utama VOC. Museum berada di bawah kepemilikan Pemerintah Provinsi DKI Jakarta dan dikelola oleh Dinas Kebudayaan dan Permuseuman Provinsi DKI Jakarta"
Museum Bank Indonesia,(021) 2600158,museum@bi.go.id,https://www.bi.go.id/id/layanan/museum-bi/default.aspx,MuseumBI,museumBI,museum_bi,"Museum Bank Indonesia merupakan museum khusus yang menempati gedung Bank Indonesia Kota. Gedung ini sebelumnya digunakan oleh De Javasche Bank. Gedung yang mempunyai nilai sejarah tinggi yang terancam kerusakan apabila tidak dimanfaatkan dan dilestarikan. Pemerintah telah menetapkan bangunan tersebut sebagai bangunan cagar budaya. Selain dari gedung bersejarah, Bank Indonesia juga memiliki benda-benda dan dokumen-dokumen bersejarah yang perlu dirawat dan diolah untuk dapat memberikan informasi yang sangat berguna bagi masyarakat."
Museum Bank Tabungan Negara,(021) 6886789,,,,,,"Museum Bank Tabungan Negara (BTN) merupakan museum khusus yang didirikan sebagai wadah untuk menampilkan sejarah perjalanan bisnis sekaligus sejarah BTN. Museum menempati Gedung Post Paarbank yang telah digunakan sebagai kantor BTN sejak zaman Pemerintahan Hindia Belanda. Cikal bakal BTN dimulai dengan didirikannya Post Paarbank di Batavia pada tahun 1897. Tahun 1942 saat pendudukan Jepang di Indonesia, bank ini dibekukan dan diganti dengan Tyokin Kyoku atau Chokinkyoku. Pada tahun 1950 berubah menjadi Bank Tabungan Pas dan pada tahun 1963 menjadi gedung bangunan BTN dan sekarang terdapat Museum BTN."
Museum Basoeki Abdullah,(021) 7698926,basoeki.abdullah@gmail.com,http://museumbasoekiabdullah.or.id/en/,museumbasoekiabdullah,Mus_BA,musbadul,"Museum Basoeki Abdullah merupakan museum khusus yang berada di rumah pribadi Basoeki Abdullah. Rumah pribadinya yang terletak di Jalan Keuangan Raya Nomor 19, Cilandak Barat, Jakarta Selatan, diserahkan pihak keluarga kepada Pemerintah Republik Indonesia untuk dijadikan museum. Rumah tersebut kemudian direnovasi agar dapat difungsikan sebagai museum. Pada tanggal 25 September 2001, rumah tersebut resmi beralih fungsi menjadi Museum Basoeki Abdullah, yvang diresmikan oleh Menteri Kebudayaan dan Pariwisata saat itu, Drs. I Gede Ardika."
Museum Benda-Benda Alkitab Yerushalayim,"(021) 43935346, (021) 43935347",info@museumbendaalkitab.com,http://museumbendaalkitab.com/,,,,"Museum Benda-Benda Alkitab Yerushalayim merupakan museum khusus yang kemunculannya tidak dapat dilepaskan dari terbitnya salah satu renungan favorit di Indonesia, yaitu Renungan Harian Manna Sorgawi. Sejak awal terbitnya, salah satu hal yang menjadi ciri khas Renungan Harian Manna Sorgawi adalah gambar inzet pada halaman depan. Setelah 10 tahun menampilkan berbagai gambar benda-benda yang disebutkan di dalam Alkitab, terlihat adanya kebutuhan untuk melihat secara langsung wujud fisik dari benda-benda tersebut. Keinginan tersebut ditanggapi secara serius oleh Renungan Harian Manna Sorgawi dengan menggelar beberapa pameran"
Museum BNI 1946,(021) 5728095,,,,,,"Museum BNI 1946 merupakan museum khusus yang berada di area Kota Tua, Jakarta. Museum ini dibangun untuk mencatat sejarah dari Bank Negara Indonesia (BNI), BNI dibangun pada tanggal 5 juni 1946 oleh R. M. Margono Djojohadikusumo. Bank ini berdiri sebagai bank pertama di Indonesia dan bertugas sebagai bank sental, dan mencetak serta mengedarkan Oeang Republik Indonesia (ORI). ORI pertama kali diedarkan pada tanggal 30 Oktober 1946 sebagai pengganti uang cetakan Belanda yang sudah ditarik. Hal ini menunjukkan bentuk kedaulatan Indonesia secara moneter. Museum berada di bawah kepemilikan Bank Negara Indonesia dan dikelola oleh Divisi Komunikasi Perusahaan dan Kesekretariatan. Koleksi yang terdapat di museum ini antara lain berupa, brankas, alat pencetak uang kuno, miniatur, foto tokoh BNI, dan logo BNI dari masa ke masa. Koleksikoleksi yang berada di museum ini berasal dari berbagai cabang BNI yang ada di daerahdaerah."
Museum Ciputra Artpreneur,(021) 29889889,info@ciputraartpreneur.com,https://www.ciputraartpreneur.com/,CiputraArtpreneur,artpreneur,artpreneur,"Museum Ciputra Artpreneur merupakan museum khusus yang menjadi satu-satunya museum di Jakarta yang menggabungkan kawasan pusat perbelanjaan, kawasan perkantoran, dan kawasan seni. Koleksi yang terdapat di museum merupakan koleksi pribadi Ir. Ciputra berupa lukisan Hendra Gunawan dan beberapa sketsanya. Museum ini juga memuat pameran yang akan diganti secara berkala. Fasilitas yang terdapat di Ciputra Artpreneur terbilang lengkap antara lain galeri, museum, dan teater. Ruang teater Ciputra Artpreneur berkapasitas 1.200 kursi dengan standar internasional."
Museum Dharma Bhakti Kostrad,(021) 38147070,admin@kostrad.mil.id,https://kostrad.mil.id/,penkostrad,Cakra_Kostrad,penkostrad,"Museum Dharma Bhakti Kostrad merupakan museum khusus yang gedungnya didirikan pada tahun 1870 dan digunakan sebagai Kantor Komisaris Belanda. Selanjutnya, setelah lahirnya Kostrad yang merupakan cikal bakal dari Korra-1/Caduad pada 6 Maret 1961. Bangunan ini digunakan menjadi Kantor Mayor Jenderal (Mayjen) Soeharto yang ketika itu menjabat sebagai Panglima Komando Strategis Tentara Nasional Indonesia Angkatan Darat (Pangkostrad) I. Hingga Pangkostrad XII, bangunan itu tetap berfungsi sebagai kantor. Namun, setelah itu dialihfungsikan sebagai museum.Gedung dan bangunan ini merupakan saksi bisu kekejaman Partai Komunis Indonesia (PKI) pada 1965. Mayjen Soeharto merancang pengamanan Presiden RepubIik Indonesia I, menyusun rencana pencarian korban G30S/PKI dan pengembangan taktik serta teknik penumpasan PKI dari bumi Pertiwi."
Museum di Tengah Kebun,(021) 7196907,,,,museumkebun,museumditengahkebun,"Museum di Tengah Kebun merupakan museum umum yang dibangun oleh Sjahrial Djalil, salah satu tokoh periklanan modern Indonesia dan pendiri biro iklan Ad Force Inc, di tengah kebun seluas 3.500 m2 . Museum ini disahkan pada 2009 di tangan notaris. Koleksi yang ada di museum dikumpulkan dan dibeli oleh pemilik dari berbagai balai lelang di Eropa, Amerika, Hongkong, dan Australia. Koleksi yang dikumpulkan tersebut mencapai 2.414 koleksi dan tersebar di berbagai sudut ruangan. Tujuan pendirian museum ini adalah untuk mengembalikan benda warisan budaya Indonesia yang ada di luar negeri."
Museum DPR RI,(021) 5756074,bid_arsip@dpr.go.id,https://museum.dpr.go.id/tour/,museumdpr,museumdpr,museumdpr,"Museum DPR RI merupakan museum khusus yang pendiriannya dimulai pada keanggotaan Dewan Perwakilan Rakyat Repubik Indonesia (DPR RI) Periode Tahun 1987-1992. Pembentukan Museum DPR RI dimulai dengan membentuk Yayasan Museum DPR RI yang diketuai oleh Dr. HJ. Naro, S.H. dan sebagai awal yang dilakukan oleh yayasan adalah membuat perencanaan gedung Museum DPR RI melalui pembentukan Tim Museum DPR RI dengan tugas mengumpulkan koleksi baik yang berupa naskah, foto, maupun benda yang terkait dengan sejarah DPR RI sejak zaman penjajahan Belanda (Volksraad) sampai sekarang."
Museum Fauna Indonesia “Komodo” dan Taman Reptilia,(021) 8403400,"taman.reptilia@tamanmini.com, museumkomodo@gmail.com",https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-fauna-indonesia-komodo-taman-reptil,,,,Museum Fauna Indonesia “Komodo” dan Taman Reptilia (MFIK & TR) merupakan museum khusus yang dibangun pada tahun 1975 dan diresmikan pada 20 April 1978. MFIK & TR ini merupakan museum pertama di Kawasan Taman Mini Indonesia Indah (TMII). Pembangunan museum ini bertujuan untuk mengenalkan satwa asli Indonesia dalam bentuk sudah diawetkan. Konsep edukasi di museum ini mengarahkan pada pengembangan makna dan nilai-nilai yang terkandung di dalam setiap koleksi. Edukasi ditujukan mengenalkan spesimen satwa peraganya yang memiliki nilai ilmiah yang sangat penting untuk diketahui masyarakat.
Museum of Health and Medicine,"(021) 3912477, (021) 29189160, (021) 29189162","imuseum.imeri@gmail.com, imeri@ui.ac.id",https://imeri.fk.ui.ac.id/,IMERIFKUI1,imuseum_fkui,imeri_fkui,"Museum FKUI-Indonesia Museum of Health and Medicine atau iMuseum merupakan museum khusus yang diresmikan pada tanggal 14 September 2017 oleh Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Republik Indonesia, Puan Maharani. Museum ini difungsikan sebagai museum rujukan nasional mengenai pembelajaran dan pendidikan di bidang kesehatan dan kedokteran. Pembangunan museum ini juga merupakan pengabdian kepada masyarakat dari Fakultas Kedokteran Universitas Indonesia di bidang pendidikan kesehatan dan ilmu kedokteran."
Museum Graha Widya Patra (Minyak dan Gas Bumi),(021) 8401686,museummigas.tmii@gmail.com,,,museum_migas,museummigas.tmii,"Museum Graha Widya Patra (Minyak dan Gas Bumi) merupakan museum khusus berada di bawah kepemilikan dan pengelolaan Kementerian Energi dan Sumber Daya Mineral Republik Indonesia (Kementerian ESDM). Minyak dan gas (migas) merupakan hal yang penting dalam perkembangan bangsa Indonesia. Migas merupakan alasan bangsa lain datang ke Indonesia selain mencari rempah. Di seminar dalam rangka memperingati 100 tahun pengusahaan migas di Indonesia, muncul gagasan mendirikan sebuah museum dan pusat ilmiah migas yang diberi nama Graha Widya Patra sebagai media publikasi mengenai ilmu pengetahuan dan segala aspeknya tentang migas. Pada tahun 1987 dibangunlah museum tersebut di TMII. Dalam perjalanan pembangunan museum muncul perubahan nama museum menjadi Museum Minyak dan Gas Bumi “Graha Widya Patra”. Pada tahun 1989, museum diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto. Pada tahun 1993, museum menambah Anjung Proses, Aplikasi dan Dampak sebagai tempat informasi proses, aplikasi, dan dampak migas."
Museum Hakka Indonesia,(021) 92363682,management@museumhakkaindonesia.com,http://museumhakkaindonesia.com/en/,,,museumhakka.id,"Museum Hakka Indonesia merupakan museum khusus yang diresmikan pada tahun 2014. Museum Hakka Indonesia dibangun untuk menyampaikan kisah sejarah perjuangan nenek moyang orang Hakka yang meninggalkan kampung halamannya di Cina Selatan karena bencana alam atau peperangan dan memberikan inspirasi bagi generasi muda. Saat merantau mereka bekerja sebagai kuli tambang, buruh perkebunan, petani, atau pedagang kecil. Banyak dari mereka yang berhasil dan kemudian memberikan kontribusi bagi perkembangan dan pembangunan ekonomi setempat."
Museum Harry Darsono,"(021) 7668553, (021) 7668554, 08159993499","hdc071@gmail.com, pangathdc71@yahoo.com",http://www.harrydarsonocouture.com/,,MuseumHDarsono,sirharrydarsono,"Museum Harry Darsono merupakan museum khusus yang dikenal juga sebagai museum fashion. Museum ini didirikan pada tahun 1996 dan dipenuhi oleh 4.616 karya Harry Darsono yang telah dikumpulkan selama 30 tahun. Museum ini berawal dari keinginan Harry Darsono sejak kecil untuk membuat museum berisi koleksi rancangan pribadinya. Koleksinya tersebut terutama berhubungan dengan rancangan busana, aksesori, dan dekorasi interior sebagai tempat penataan di mana gaun ciptaannya bisa dikenakan secara elegan. Selain itu dapat dilihat juga karya Harry Darsono yang dibuat sejak tahun 1970 seperti koleksi art to wear dan kostum panggung kontemporer yang pernah ditampilkan untuk pagelaran Internasional."
Museum Indonesia,(021) 87782910,"museum.indonesia86@gmail.com, musindo@tamanmini.com",https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-indonesia,,,,"Museum Indonesia merupakan museum khusus yang mulai dibangun pada tahun 1976 atas ide dari Ibu Tien Soeharto. Museum selesai dibangun pada tahun 1980 dan diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto. Museum ini dibangun untuk menjadi wadah dalam melestarikan dan membinawarisan budaya Indonesia yang beraneka ragam. Pameran yang disajikan merupakan hasil kebudayaan Indonesia dari Sabang sampai Merauke. Pengunjung yang datang ke Museum Indonesia diharapkan sadar dan bangga terhadap tanah air serta menambah kekuatan dalam menjaga Negara Kesatuan Republik Indonesia. Museum dikelola oleh Taman Mini Indonesia Indah."
Museum Jenderal Besar Dr. A.H. Nasution,(021) 3909943,,,,,,"Museum Jenderal Besar Dr. A.H. Nasution merupakan museum khusus yang diresmikan oleh Presiden Republik Indonesia Ke-7, Susilo Bambang Yudhoyono pada 3 Desember 2008, bertepatan dengan Hari Kelahiran Dr. A. H. Nasution. Museum ini menceritakan mengenai perisiwa terjadinya G30S/PKI yang menewaskan anak A.H. Nasution, Ade Irma Suryani dan ajudan jenderal, Lettu Czi Piere Andreas Tendean, serta upaya penculikan dan pembunuhan Dr. A.H. Nasution yang gagal dilakukan. Rumah tersebut sebelum dijadikan sebagai kediaman Dr. A.H. Nasution merupakan tempat tinggal pegawai Gubernur Jenderal Belanda yang dibangun pada tahun 1923. Pegawai Gubernur Jenderal Belanda yang saat itu menempati merupakan mertua Dr. A.H. Nasution."
Museum Joang ‘45,(021) 3909148,museumjoangjakarta@yahoo.com,,Musejak,,museumkesejarahan,"Museum Joang ’45 merupakan museum khusus yang didirikan di bekas hotel. Pada tahun 1938, seorang pengusaha Belanda bernama L.C. Schomper mendirikan sebuah hotel yang bernama Schomper 1 di daerah Menteng Raya. Hotel ini dibangun khusus bagi pejabat tinggi Belanda, pengusaha asing dan pejabat pribumi. Ketika Jepang menjajah Indonesia, Hotel Schomper 1 dikuasai oleh pemuda Indonesia dan dijadikan asrama dan tempat pendidikan nasionalisme para pemuda Indonesia. Ir. Soekarno, Drs. Mohammad Hatta, Adam Malik, Chaerul Saleh dan sejumlah tokoh Indonesia lainnya merupakan tokoh-tokoh yang terlibat dalam pendidikan pemuda yang memperjuangkan kemerdekaan Indonesia."
Museum Katedral,(021) 3457746,museumkatedral@gmail.com,http://www.katedraljakarta.or.id/,,,,"Museum Katedral merupakan museum khusus yang menempati balkon Gereja Katedral. Balkon ini sebelumnya dimanfaatkan untuk paduan suara. Gagasan pendirian museum berasal dari Pastor Rudolphus Kurris, SJ. Ketika pada tahun 1988 dilakukan pemugaran menyeluruh, Kurris menemukan harta gereja yang berantakan dan nyaris hancur. Kepedulian Kurris pada benda-benda bersejarah berdampak pada timbul gagasannya untuk menyimpan peninggalan-peninggalan tersebut di tempat yang layak. Ia beralasan bahwa warisan-warisan tersebut dapat membangkitkan rasa kagum terhadap masa lalu, bahkan dapat menyalurkan pengetahuan iman Katolik untuk generasi-generasi selanjutnya. Gagasan Kurris baru terwujud pada tanggal 28 April 1991. Museum Katedral pun diresmikan oleh Ketua Konferensi Wali Gereja Indonesia (KWI) Mgr. Julius Darmaatmadja. Museum berada di bawah kepemilikan dan pengelolaan Paroki Gereja Katedral."
Museum Kebangkitan Nasional,(021) 3847975,muskitnas@kemdikbud.go.id,https://muskitnas.net,,muskitnas1908,muskitnasofficial,"Museum Kebangkitan Nasional merupakan museum umum yang didirikan sebagai sarana informasi yang berkaitan dengan sejarah masa perjuangan Indonesia. Museum ini memberi informasi tentang kegiatan-kegiatan dalam mencapai kemerdekaan dan memiliki keterkaitan dengan bangunan museum, seperti pendirian Boedi Oetomo. Karena memiliki nilai sejarah yang tinggi, berkaitan dengan kelahiran Boedi Oetomo pada 20 Mei 1908, pada tahun 1948 ditetapkan sebagai Hari Kebangkitan Nasional. Selain sebagai saksi berdirinya organisasi Boedi Oetomo, gedung museum ini juga menjadi saksi lahirnya organisasi-organisasi lain, seperti Trikoro Dharmo (Jong Java), Jong Minahasa, dan Jong Ambon."
Museum Kehutanan “Ir. Djamaludin Suryohadikusumo”,(021) 5703246,"museumkehutanan@gmail.com, museum@manggala.or.id",,museumkehutanan,museumkehutanan,museumkehutanan,"Museum Kehutanan “Ir. Djamaludin Suryohadikusumo” merupakan museum khusus yang menjadi satu-satunya museum di Provinsi DKI Jakarta dengan tema kehutanan. Museum pertama kali diresmikan pada 24 Agustus 1983 dengan nama Museum Kehutanan Manggala Wanabakti. Pada 5 Juni 2015, nama museum diganti menjadi Museum Kehutanan Ir. Djamaludin Suryohadikusumo di bawah kepemilikan dan pengelolaan Kementerian Lingkungan Hidup dan Kehutanan Repubik Indonesia."
Museum Keprajuritan,(021) 8401080,musjuritindo@yahoo.com,http://sejarah-tni.mil.id/2017/03/18/700/,,,,"Museum Keprajuritan merupakan museum khusus yang diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto pada 5 Juli 1987. Museum yang berbentuk benteng persegi lima ini merupakan museum yang dikelola oleh Pusat Sejarah TNI. Konsep museum ini bertujuan untuk menggambarkan sejarah perjuangan bangsa Indonesia pada abad ke-7 sampai abad ke-19. Setiap sisi bangunan memiliki makna yang menggambarkan Indonesia. Persegi lima menunjukan dasar negara Pancasila. Menara atau yang biasa disebut sebagai bastion memiliki arti kewaspadaan nasional demi dan untuk keutuhan Negara Kesatuan Republik Indonesia."
Museum Korps Marinir Jakarta,(021) 34830945,mail@tnial.mil.id,https://www.tnial.mil.id/,tnial.dispenal.1,_TNIAL_,tni_angkatan_laut,"Museum Korps Marinir Jakarta merupakan museum khusus yang berada di lingkungan Korps Marini. Museum ini diresmikan pada 14 Desember 1960 dan berada di bawah naungan Dinas Sejarah dan Penerangan. Pada 23 Maret 1964, museum dan perpustakaan melepaskan diri dari Dinas Sejarah dan Penerangan dan berada di bawah Dinas Sejarah Korps Marinir. Tujuan pendirian museum ini untuk mengoleksi material yang digunakan oleh Korps Marinir dalam menjalankan tugasnya mengawal Negara Kesatuan Republik Indonesia. Koleksi yang berada di museum ini berupa peralatan dan perlengkapan kapal, perlengkapan kendaraan tempur dan pasukan, senjata dan amunisi, perlengkapan perorangan lapangan atau kaporlap dan tanda jasa kehormatan, lambang bendera, foto dan lukisan, serta dokumen dan arsip."
Museum Layang-layang,"(021) 7658075, (021) 75904863",museum_layang@yahoo.com,,museumlayanglayang,,museumlayanglayang.id,"Museum Layang-layang merupakan museum khusus yang dibangun pada tahun 2003. Museum ini didirikan untuk memberi informasi tentang layang-layang dari seluruh nusantara dan mancanegara, termasuk layang-layang tradisional dan modern. Museum milik Endang Ernawati ini cocok untuk anak-anak dan pecinta layang-layang, karena di museum ini terdapat berbagai informasi yang berkaitan dengan layang-layang, baik berupa tulisan, gambar, maupun video. Selain menyediakan informasi tentang layanglayang, museum ini juga menyediakan kegiatan pendukung, seperti membuat dan melukis keramik, melukis payung, kaos, dan wayang mini, serta membatik. Bila cuaca mendukung, pengunjung bisa bermain layang-layang di tempat yang sudah disediakan."
Museum Listrik dan Energi Baru,(021) 8413451,museumlistrik.tmii@gmail.com,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-listrik-dan-energi-baru,,museumlistrik,museumlistrikpln,"Museum Listrik dan Energi Baru (MLEB) merupakan museum khusus yang menjadi satu-satunya museum ilmu pengetahuan dan teknologi (science museum) di Indonesia, yang memperagakan koleksi tentang ketenagalistrikan dan energi baru terbarukan. Berbagai koleksi peragaan disajikan menggunakan teknologi modern yang interaktif sehingga pengunjung dapat mempraktekkan sendiri peraganya seperti peragaan seri paralel, peragaan menghasilkan arus listrik dari buah-buahan, pensil, koin, dan dari magnet. MLEB memiliki beberapa area yaitu Zona Selamat Datang, Zona Sejarah, Zona Sains dan Teknologi dan Zona Masa Depan. Sesuai dengan visi museum yang menjadikan museum modern, inovatif dan dicintai masyarakat sebagai wahana rekreasi edukatif yang berorientasi masa depan dengan bertumpu pada potensi listrik, di semua zona yang ada, pengunjung dapat melakukan peragaan mengenai kelistrikan secara langsung."
